Liste des organismes bénéficiaires du Fonds européen de développement régional et du Fonds social européen en Lorraine,,,,,,,,,
"Nota bene : ces données concernent les projets pour lesquels le concours des Fonds européens a été approuvé en comité de programmation

Données actualisées au 18/10/2009",,,,,,,,,
Nom ou raison sociale du bénéficiaire,Intitulé du dossier,Montant du projet en coût total,Montant du cofinanceur européen,Fonds européen concerné,Région de localisation du dossier,Localisation,Programme,Catégorisation,Libellé catégorisation
ALFAGAINE,Programme d'investissement - Acquisition d'une ligne de production complète,"850,000 €","100,000 €",FEDER ,LORRAINE,MOSELLE / METZ-CAMPAGNE / MARANGE-SILVANGE / FEVES,Programme opérationnel FEDER Lorraine,7,Investissements dans les entreprises directement liées à la recherche et l'innovation (...)
ALPHAMETAL,Acquisition d'une fraiseuse à commande numérique,"250,000 €","25,000 €",FEDER ,LORRAINE,MOSELLE / THIONVILLE-EST / THIONVILLE / THIONVILLE,Programme opérationnel FEDER Lorraine,8,Autres investissements en entreprises
ALPHAMETAL,Reprise de la société HOCH INDUSTRIE,"550,000 €","55,000 €",FEDER ,LORRAINE,MOSELLE / THIONVILLE-EST / THIONVILLE / THIONVILLE,Programme opérationnel FEDER Lorraine,8,Autres investissements en entreprises
AMOFOPE - Association Moselle Format Promot Social Trava,ACCOMPAGNEMENT EMPLOI SECTEUR MARCHAND AMOFOPE 2009,"199,400 €","99,700 €",FONDS SOCIAL EUROPEEN,LORRAINE,MOSELLE,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
AMOFOPE - Association Moselle Format Promot Social Trava,AMOFOPE - ACCOMPAGNEMENT VERS L'EMPLOI DANS LE SECTEUR MARCHAND 2008,"174,500 €","87,250 €",FONDS SOCIAL EUROPEEN,LORRAINE,MOSELLE,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
ANPE Diréction régionale Lorraine,Aide à la reprise d'activité des femmes,"1,200,000 €","540,000 €",FONDS SOCIAL EUROPEEN,LORRAINE,,Programme opérationnel national Fonds social européen,69,Mesures pour améliorer l'accès à l'emploi et renforcer la participation durable et la progression des femmes...
ANPE Diréction régionale Lorraine,Prestations: favoriser le retour à l'emploi des D.E. ,"10,206,024 €","4,592,711 €",FONDS SOCIAL EUROPEEN,LORRAINE,,Programme opérationnel national Fonds social européen,65,Modernisation et renforcement des institutions du marché du travail
APIC,APIC chantier d'insertion,"226,016 €","22,350 €",FONDS SOCIAL EUROPEEN,LORRAINE,MEURTHE-ET-MOSELLE / NANCY / NEUVES-MAISONS,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
APOLLOR UNION,démarche innovante de réduction des coûts des moules métalliques pour la plasturgie lorraine,"141,278 €","28,256 €",FEDER ,LORRAINE,,Programme opérationnel FEDER Lorraine,1,Activités R&DT dans centres de recherche
ARACT LORRAINE,D.E.F.I.,"32,124 €","4,974 €",FONDS SOCIAL EUROPEEN,LORRAINE,,Programme opérationnel national Fonds social européen,69,Mesures pour améliorer l'accès à l'emploi et renforcer la participation durable et la progression des femmes...
ARACT LORRAINE,Plan Régional d'Action pour la gestion des âges dans les entreprises lorraines,"191,267 €","28,699 €",FONDS SOCIAL EUROPEEN,LORRAINE,,Programme opérationnel national Fonds social européen,67,Mesures encourageant le vieillissement actif et la prolongation de la vie active
ARACT LORRAINE,Plan Régional pour la gestion des âges dans les entreprises lorraine,"193,021 €","56,678 €",FONDS SOCIAL EUROPEEN,LORRAINE,,Programme opérationnel national Fonds social européen,67,Mesures encourageant le vieillissement actif et la prolongation de la vie active
ARKETEAM SAS,Création de l'entreprise,"210,000 €","17,500 €",FEDER ,LORRAINE,MEURTHE-ET-MOSELLE / TOUL / TOUL-NORD / GONDREVILLE,Programme opérationnel FEDER Lorraine,9,"Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
ARS - Accueil et Réinsertion Sociale,Atelier Permanent de Recherche d'Emploi,"60,000 €","40,000 €",FONDS SOCIAL EUROPEEN,LORRAINE,MEURTHE-ET-MOSELLE / NANCY / NANCY / NANCY,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
ARS - Accueil et Réinsertion Sociale,Chantier d'insertion 2D 2009,"51,800 €","15,000 €",FONDS SOCIAL EUROPEEN,LORRAINE,MEURTHE-ET-MOSELLE / NANCY / NANCY / NANCY,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
ARS - Accueil et Réinsertion Sociale,CI Maintenance Parc locatif,"30,500 €","9,500 €",FONDS SOCIAL EUROPEEN,LORRAINE,Multilocalisation,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
ARS - Accueil et Réinsertion Sociale,Correspondant de parcours,"38,614 €","37,000 €",FONDS SOCIAL EUROPEEN,LORRAINE,MEURTHE-ET-MOSELLE / NANCY / NANCY / NANCY,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
ARS - Accueil et Réinsertion Sociale,Correspondant de parcours ARS 2009,"99,920 €","77,000 €",FONDS SOCIAL EUROPEEN,LORRAINE,MEURTHE-ET-MOSELLE / NANCY / NANCY / NANCY,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
ASBH association d'Action Sociale et Sportive du Bassin Houiller,ASBH ACCOMPAGNEMENT PERSONNALISE VERS L'EMPLOI 2008,"16,450 €","8,225 €",FONDS SOCIAL EUROPEEN,LORRAINE,MOSELLE / BOULAY-MOSELLE / BOUZONVILLE,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
ASBH association d'Action Sociale et Sportive du Bassin Houiller,CHANTIER D'INSERTION ASSOCIATIF ASBH 10 CHANTIERS 2009,"390,000 €","195,000 €",FONDS SOCIAL EUROPEEN,LORRAINE,Multilocalisation,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
ASBH association d'Action Sociale et Sportive du Bassin Houiller,CHANTIER D'INSERTION ASSOCIATIF ASBH 8 CHANTIERS 2007,"310,000 €","155,000 €",FONDS SOCIAL EUROPEEN,LORRAINE,MOSELLE / FORBACH,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
ASBH association d'Action Sociale et Sportive du Bassin Houiller,CHANTIER D'INSERTION ASSOCIATIF SUR 8 LIEUX - 2008,"384,400 €","155,000 €",FONDS SOCIAL EUROPEEN,LORRAINE,MOSELLE / FORBACH,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
ASCOFORGE SAFE,FOR LOR PRECI (Forgeage de précision à haute performance en Lorraine),"724,087 €","144,818 €",FEDER ,LORRAINE,MOSELLE / METZ-CAMPAGNE / MAIZIERES-LES-METZ / HAGONDANGE,Programme opérationnel FEDER Lorraine,4,"Soutien à la R&DT, en particulier dans les PME (y compris accès à des services de R&DT dans les centres de recherche)"
ASCOMETAL CREAS,FOR LOR PRECI FORGEAGE DE PRECISION A HAUTE PERFORMANCE EN LORRAINE,"282,603 €","56,520 €",FEDER ,LORRAINE,MOSELLE / METZ-CAMPAGNE / MAIZIERES-LES-METZ / HAGONDANGE,Programme opérationnel FEDER Lorraine,4,"Soutien à la R&DT, en particulier dans les PME (y compris accès à des services de R&DT dans les centres de recherche)"
Associaiton Ogec Jean Paul II,Accompagnement des salariés en insertion,"28,004 €","14,002 €",FONDS SOCIAL EUROPEEN,LORRAINE,MEUSE / BAR-LE-DUC,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
Association ARCADES,Chantier 2d oeuvre bâtiment,"53,155 €","13,680 €",FONDS SOCIAL EUROPEEN,LORRAINE,MEURTHE-ET-MOSELLE / NANCY / NANCY / NANCY,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
Association ARCADES,Chantier 2d oeuvre bâtiment 2009,"212,513 €","14,680 €",FONDS SOCIAL EUROPEEN,LORRAINE,MEURTHE-ET-MOSELLE / NANCY / NANCY / NANCY,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
Association ARCADES,Chantier d'insertion assistance à la personne,"39,020 €","11,500 €",FONDS SOCIAL EUROPEEN,LORRAINE,MEURTHE-ET-MOSELLE / NANCY / POMPEY / MAXEVILLE,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
Association ARCADES,CI Assistance & Services à la Personne 2009,"200,627 €","14,500 €",FONDS SOCIAL EUROPEEN,LORRAINE,MEURTHE-ET-MOSELLE / NANCY / NANCY / NANCY,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
Association ARCADES,Correspondant de parcours,"36,400 €","32,000 €",FONDS SOCIAL EUROPEEN,LORRAINE,MEURTHE-ET-MOSELLE / NANCY / POMPEY / MAXEVILLE,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
Association Ars Mathématica,Sculpture numérique et biomorphisme,"26,350 €","6,000 €",FEDER ,LORRAINE,MEURTHE-ET-MOSELLE / NANCY / NANCY / NANCY,Programme opérationnel FEDER Lorraine,2,Infrastructure R&DT et centres de compétence pour des technologies spécifiques
Association Chrétienne des Institutions Sociales et de Santé de France (ACIS-France),Création d'une chaufferie bois au sein de l'EHPAD Beau Site à HAROUE,"183,061 €","54,919 €",FEDER ,LORRAINE,MEURTHE-ET-MOSELLE / NANCY / HAROUE,Programme opérationnel FEDER Lorraine,41,Energie renouvelable: biomasse
Association Croix rouge française - délégation départementale de la Meuse,Accompagnement des salariés en insertion,"42,006 €","21,003 €",FONDS SOCIAL EUROPEEN,LORRAINE,MEUSE / BAR-LE-DUC / REVIGNY-SUR-ORNAIN,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
