lfd_nr,forderaktivitat,name_des_begunstigten,name_des_projekts,bewilligungs_jahr,bewilligter_betrag_in_euro,ausbezahlter_betrag_zum_projektende,fund_type,currency,uri
97,6,Artec Systems GmbH & Co. KG,Förd. Zus. Betriebl. Ausbildungsstellen,2007,1500,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
98,6,arthotel.munich e. K.,Förd. Zus. Betriebl. Ausbildungsstellen,2007,2000,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
99,6,arthotel.munich e. K.,Förd. Zus. Betriebl. Ausbildungsstellen,2007,2000,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
100,6,arthotel.munich e. K.,Förd. Zus. Betriebl. Ausbildungsstellen,2007,2000,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
101,6,arthotel.munich e. K.,Förd. Zus. Betriebl. Ausbildungsstellen,2007,2000,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
102,6,arthotel.munich e. K.,Förd. Zus. Betriebl. Ausbildungsstellen,2007,2000,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
103,6,arthotel.munich e. K.,Förd. Zus. Betriebl. Ausbildungsstellen,2007,2000,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
104,6,"Arztpraxis, Wolfgang Hübscher",Förd. Zus. Betriebl. Ausbildungsstellen,2007,2000,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
105,6,"AS Finanz- und Lohnbuchhaltungsservice, Sylvia Demir",Förd. Zus. Betriebl. Ausbildungsstellen,2007,2000,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
106,6,ASA Alexander Schwab Architekten GmbH,Förd. Zus. Betriebl. Ausbildungsstellen,2007,2000,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
107,6,ASB Steuerberatungsgesellschaft mbH,Förd. Zus. Betriebl. Ausbildungsstellen,2007,2000,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
108,6,ASP Service GmbH,Förd. Zus. Betriebl. Ausbildungsstellen,2007,2000,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
109,6,ASS - Autoservice Schwaig Özgüler Mehmet und Ahmet GbR,Förd. Zus. Betriebl. Ausbildungsstellen,2007,2000,0,ESF,EUR,http://www.stmas.bayern.de/arbeit/esf2007-2013/inf-beguenstigte-2007.pdf
