name_des_begunstigten,bezeichnung_des_vorhabens,jahr_der_bewilligung,gewahrte_betrage,bei_abschluss_des_vorhabens_gezahlte_gesamtbetrage
"Entwicklungsgesellschaft Brunsbüttel 
mbH","Regionalmanagement Logistik für den 
s-h Teil der  Metropolregion Hamburg",2008,231000
GISMA Steckverbinder GmbH,"Erweiterung einer Betriebsstätte in 
Neumünster (GISMA)",2008,226327
Projektgesellschaft Norderelbe,"Förderung Geschäftsstelle Südwest 
für 2008",2008,220000
Projektgesellschaft Norderelbe mbH,"Förderung der Geschäftsstelle für das 
ZPW für die Region Südwest für das 
Jahr 2007",2007,220000
Stadt Westerland,"Sicherheitspaket Flughafen Sylt II - 
Erweiterung  des Vorfeldes; 2.BA",2008,219330
"Entwicklungsgesellschaft Ostholstein 
mbH","Förderung Geschäftsstelle für das 
ZPW für die Region Südost für 2008",2008,213710
KiC - Kunst in der Carlshütte gGmbH,"Marketingkonzept f.d.Nord Art in 
Büdesldorf",2008,210000
CREMILK GmbH,"Modernisierung einer Betriebsstätte in 
Kappeln (Cremilk)",2008,208080
Gear-Tec GmbH & Co. KG,"Verlagerung einer Betriebsstätte in 
Eggbek (Gear-Tec)",2008,202400
Entwicklungsagentur Nord GmbH,"D/DK Regionalmanagement: Modul 2 
Grenzüberschreitende 
Regionalentwicklung",2007,201390
Roder Kunststofftechnik GmbH,"Übernahme einer von Stilllegung 
bedrohten Betriebsstätte in Lübeck 
(Roder)",2008,196598
AKB Antriebstechnik GmbH ,"Automatisierter und in der Höhe 
verstellbarer, geschlossener 
Autotransportwaggon",2008,195000
"Studien- und Fördergesellschaft der 
Schleswig-Holsteinischen Wirtschaft 
e.V.","Weiterbildungsverbund Rendsburg-
Eckernförde",2007,189150
HEIDENREICH & HARBECK AG,"Wärmerückgewinnung in der 
Heidenreich & Harbeck AG",2008,188848
Technologie-Region K.E.R.N. e.V.,"Förderung der Geschäftsstelle für das 
Zukunftsprogramm Wirtschaft für die 
Region K.E.R.N. (2007)",2007,182916.3
"Robin Wood Möbelwerkstätte GmbH / 
Tischler Cabella & Uplegger GbR","Errichtung einer Betriebsstätte in 
Ahrensbök (Robin Wood)",2008,176640
Brar Roeloffs / Marianne Roeloffs,"Errichtung einer Betriebsstätte in 
Oevenum (Roeloff)",2008,175000
"Entwicklungsgesellschaft Ostholstein 
mbH","Förderung der Geschäftsstelle für das 
ZPW für die Region Südost für das 
Jahr 2007",2007,171296.43
Liekfeldt Druck GmbH,"Modernisierung einer Betriebsstätte in 
Neumünster (Liekfeldt)",2008,170000
Zimmerei Hans Heinrich Hamdorf,"Modernisierung einer Betriebsstätte in 
Fahrenkrug (Hamdorf)",2008,167340
Kreishandwerkerschaft Schleswig,Grenzenlose BerufsAusbildung,2008,166870
"Entwicklungsgesellschaft Brunsbüttel 
mbH","Verlängerung 
Konversionsmanagement Steinburg",2008,164700
Entwicklungsagentur Nord GmbH,"Förderung der Geschäftsstelle für das 
ZPW bei der Entwicklungsagentur 
Nord GmbH für das Jahr 2007",2007,164500
Axel Thoms Constructions GmbH,"Erweiterung einer Betriebsstätte in 
Bad Bramstedt (Axel Thoms)",2008,164250
Entwicklungsagentur Nord GmbH,"Förderung der Geschäftsstelle für das 
ZPW bei der Entwicklungsagentur 
Nord GmbH für das Jahr 2008",2008,163590
TMQS GmbH,"Multiplexlaser für die 
Zigarettenperforation",2008,161681
Dirk Müggenburg GmbH,"Erweiterung einer Betriebsstätte in 
Bad Bramstedt (Müggenburg GmbH)",2007,156900
"FLS Fuhrpark & Logistik Systeme 
GMBH","Errichtung einer Betriebsstätte in 
Heikendorf (FLS)",2008,154224
Affeldt Verpackungsmaschinen GmbH,"Entwicklung einer 
Folienschweißmaschine mit 
verbessertem Leistungsspektrum zur 
Steigerung der Qualitäts- und 
Leistungskomponenten",2007,152049
Cliplister GmbH,"Cliplister Video-Content für Online-
Shops (Cliplister GmbH)",2008,149375
Zweiradcenter Melahn GmbH,"Errichtung einer Betriebsstätte in 
Kaltenkirchen (Melahn)",2008,145200
NOVAGRAPHIX GmbH & Co. KG,CIPHOON - Exchange Box,2008,144550
"Gebr. Friedrich Industrie und 
Elektrotechnik GmbH","Energetische Optimierung im gewerbl. 
Bereich der  Industrie- und 
Elektrotechnik",2008,143714.2
Schmidt & Klaunig KG,"Erweiterung einer Betriebsstätte in 
Kiel (Schmidt & Klaunig)",2008,140000
Nord-Ostsee-Bahn GmbH,Ecotrainbook,2008,138379.5
"Lübecker Marzipan-Fabrik v. Minden & 
Bruhns GmbH & Co. KG",Sicherung der Marzipanqualität,2008,130000
REMA Anlagenbau GmbH,"Erweiterung einer Betriebsstätte in 
Mölln (REMA)",2008,125250
MWT Microwave Technology GmbH,"Erweiterung einer Betriebsstätte in 
Braak (MWT)",2008,124500
Grabowski Recycling GmbH & Co.KG,"Errichtung einer Betriebsstätte in 
Lübeck (Grabowski)",2008,121130
"Probsteier Wurstfabrik Pfeifer GmbH & 
Co KG","Erweiterung einer Betriebsstätte in 
Schönkirchen (Probsteiner 
Wurstfabrik)",2008,115350
"SEP Stuht Entwicklung und Produktion 
GmbH","Erweiterung einer Betriebsstätte in 
Pansdorf (SEP)",2008,113993
Ralf Eggers CNC Dreh- und Frästechnik,"Erweiterung einer Betriebsstätte 
(Eggers, CNC)",2008,113850
"R. Walter Dittmann Hohlwellen u. 
Zylinderwerk GmbH & Co KG","Erweiterung einer Betriebsstäte in 
Ratzeburg (Dittmann)",2008,113337
INTERSPARE GmbH,"Erweiterung einer Betriebsstätte in 
Reinbek (Interspare)",2008,112140
"Entwicklungsgesellschaft Ostholstein 
mbh","Regionalmanagement Maritime 
Wirtschaft Ostholstein, 3. 
Verlängerung",2007,110826
Merkur Druck GmbH,"Erweiterung einer Betriebsstätte in 
Norderstedt (Merkur-Druck)",2008,110250
Hotel am See Redderkrug,"Erwerb einer stillgelegten 
Betriebsstätte in Eutin (Hotel am See)",2008,108584
"Caroland Musikverlags- und -vertriebs 
GmbH","Verlagerung einer Betriebsstätte in 
Glinde (Caroland)",2008,105181
Hotel Seeblick,"Modernisierung einer Betriebsstätte in 
Norddorf (Hotel Seeblick)",2008,105000
"Hotel- und Gaststättenbetriebsges. Groß 
Timmendorf","Modernisierung einer Betriebsstätte in 
Timmendorfer Strand (Fuhrmann)",2008,105000
Lubs GmbH,"Verlagerung einer Betriebsstätte in 
Lübeck (Lubs)",2008,105000
"Stegert GmbH Tischfabrik / Eckhard u. 
Jochen Stegert GbR","Erweiterung einer Betriebsstätte in 
Neumünster (Stegert)",2008,104835
Hotel Hof Krähenberg,"Modernisierung einer Betriebsstätte in 
Grömitz (Hotel Hof Krähenberg)",2008,104685
"Zaeske Maschinenbau GmbH / Zaeske 
Gmbh & Co. KG",Erweiterung Betriebsstätte (Zaeske),2008,103988
Landhaus Gardels,"Modernisierung einer Betriebsstätte in 
St. Michaelisdonn (Gardels)",2008,103250
"HVT Hotelverwaltungsges. Timmendorf 
mbH","Modernisierung einer Betriebsstätte in 
Timmendorfer Strand (HVT)",2008,100660
PyroPol GmbH,"Erweiterung einer Betriebsstätte in 
Hornbek (PyroPol)",2008,98250
"Strandhotel                                     Inh. 
Marco Lass","Modernisierung einer Betriebsstätte in 
Sankt Peter-Ording",2008,97582
Landhaus Altes Pastorat Süderende,"Modernisierung einer Betriebsstätte in 
Süderende (Thomas May)",2008,96250
Georg Bahrs & Sohn,"Erweiterung einer Betriebsstätte in 
Bad Segeberg (Bahrs & Sohn)",2007,96150
"MPF-Medicalproduktevertrieb Flensburg 
oHG","Erweiterung einer Betriebsstätte in 
Flensburg (MPF)",2008,95566
motion-center Holger Otto GmbH,"Erweiterung einer Betriebsstätte in 
Rendsburg (Motion-Center)",2008,93664
Handwerkskammer Flensburg,"HK-Flbg.Mod.d.Ausstattg BBS 
Flbg.u.Meldorf",2008,92975
Hotelbetrieb Engel GmbH,"Erweiterung einer Betriebsstätte in 
Mühbrook (Engel)",2008,91650
"Lubeca Werkzeugbau GmbH & Co. 
TeWe KG / Lubeca Werkzeugbau 
GmbH","Erweiterung einer Betriebsstätte in 
Lübeck (Lubeca Werkzeugbau)",2008,91200
Christian Hamann,"Erweiterung einer Betriebsstätte in 
Quern (Hamann)",2008,90000
Hotel Büsum,"Modernisierung einer Betriebsstätte in 
Büsum (Hotel Büsum)",2008,85330
KERN e.V.,"Regionalmanagement Konversion in 
der K.E.R.N.-Region 3. Verlängerung 
1.Juli 2007 bis 31. Juli 2008",2007,81457.66
"Wolfgang Doose Werkzeug- 
Vorrichtungsbau GmbH+CoKG","Erweiterung einer Betriebsstätte in 
Henstedt-Ulzburg (Doose)",2008,77076
AHLF ElektronikGmbH,"Vollautomatisches 
Positionierungssystem zur Integration 
in Steuerungen",2008,74876.84
OLFAtec GmbH,"Schweißgeruchsmessung unter 
Gegenwirkung von Antitranspirantien",2008,74300
Matthias Schernikau GmbH,"Erweiterung einer Betriebsstätte in 
Lanken (Schernikau)",2008,74100
"Stührk Delikatessen Import GmbH & Co. 
KG","Stührk Delikatessen Foodvision 
(Stührk Delikatessen Import GmbH & 
Co. KG)",2008,70773
"Neumüller Elektronik GmbH / OptoDis 
GmbH","Errichtung einer Betriebsstätte in 
Ahrensburg (OPTODIS)",2008,70369
Bauma Vermiet- und Handels GmbH,"Verlagerung einer Betriebsstätte nach 
Großenaspe (BAUMA)",2008,70000
"Hansa-Druck- und Verlags- GmbH & 
Co. KG","Erweiterung einer Betriebsstätte in 
Kiel (Hansa-Druck)",2008,70000
"Hansalux GmbH & Co. KG / 
Kunststoffwerk + Metallbau Moba 
Fenster und Türen GmbH","Erweiterung einer Betriebsstätte 
(HANSALUX)",2008,70000
Hotel antares,"Modernisierung einer Betriebsstätte in 
Büsum (Hotel antares)",2008,70000
MechTech GmbH,"Erweiterung einer Betriebsstätte 
(MechTech)",2008,70000
Stadt Neumünster,"Machbarkeitsstudie Messestandort 
Holstenhallen",2008,70000
"Papierweiterverarbeitung Jan Mehmet 
Sayar ","Erweiterung einer Betriebsstätte in 
Gleschendorf (Sayar)",2008,69800
Amt Kropp-Stapelholm,"Audiotracks für den Wikinger-Friesen-
Weg",2008,67200
MPL Cuttingparts GmbH,"Errichtung einer Betriebstätte in 
Lübeck (MPL)",2008,66819
