ID,name_des_begunstigten,bezeichnung_des_vorhabens,jahr_der_bewilligung, gewahrte_betrage ,bei_abschluss_des_vorhabens_gezahlte_gesamtbetrage
563,"Ländliches Bildungszentrum
Wanzleben e.V.","E-Learning - Plattform für Auszubildende in der Hotellerie und
Gastronomie",2008," 261,879.00 "
822,"VHS - Bildungswerk in Sachsen-
Anhalt GmbH","Praktikumsmaßnahmen zur beruflichen Eingliederung am
Arbietsmarkt benachteiligter Personen",2008," 256,890.00 "
136,"Bildungswerk der Wirtschaft Sachsen-
Anhalt e. V.","Praktikumsmaßnahme zur beruflichen Eingliederung am
Arbeitsmarkt benachteiligter Personen",2008," 252,485.00 "
751,"tbz Technologie- und
Berufsbildungszentrum Magdeburg
GmbH","Duale Ausbildung Technik - Orientieren- Entwickeln -
Integrieren",2008," 247,389.60 "
137,"Bildungswerk der Wirtschaft Sachsen-
Anhalt e. V.","RL Praktikumsmaßnahmen zur beruflichen Eingliederung am
Arbeitsmarkt benachteiligter Personen",2008," 246,853.00 "
254,"Europäisches Bildungswerk für Beruf
und Gesellschaft gGmbH",GAJL - Gegen Abwanderung junger Landeskinder,2008," 242,950.00 "
383,"GSG - Gesellschaft für Sanierung und
Strukturentwicklung Mansfelder Land
mbH","Unterstützung des Breitensports in den Sportvereinen des
Landkreises Mansfeld-Südharz",2008," 241,921.00 "
239,Euro-Schulen Sachsen-Anhalt GmbH,GAJL - Gegen Abwanderung junger Landeskinder,2008," 235,357.00 "
300,"Förderungsdienst des Einzelhandels
im Lande Sachsen-Anhalt",ETEK - Entwicklung transnationaler Einzelhandelskompetenz,2008," 234,700.50 "
41,AFU Privates Bildungsinstitut GmbH,"Praktikumsmaßnahme zur beruflichen Eingliederung am
Arbeitsmarkt benachteiligter Personen",2008," 234,679.00 "
112,"BBI Bildungs- und Beratungsinstitut
GmbH",Absolventen U30,2008," 230,531.00 "
321,"GESAS Gesellschaft für Sanierung
Schönebeck mbH","Verbesserung der touristischen Infrastruktur im Salzlandkreis,
Bereich Altkreis Schönebeck",2008," 230,395.00 "
634,"Qualifizierungs- und
Strukturförderungsgesellschaft mbH","Unterstützung der Breitensportarbeit im Kreissportbund
Jerichower Land e.V. - Region Burg",2008," 228,624.36 "
253,"Europäisches Bildungswerk für Beruf
und Gesellschaft gGmbH",GAJL - Gegen Abwanderung junger Landeskinder,2008," 226,201.00 "
849,"Wirtschaftsförderungsgesellschaft
mbH des Landkreises Wittenberg",Qualfizierung von Existenzgründern,2008," 225,814.58 "
280,"FAW Fortbildungsakademie der
Wirtschaft gGmbH Akademie
Merseburg","Zukunft mit Arbeit im Saalekreis, Integrationszentrum für ALG
-II-Bezieher, Arbeitsfabrik Dammstraße3 in 06217 Merseburg",2008," 219,379.00 "
823,"VHS - Bildungswerk in Sachsen-
Anhalt GmbH",Zukunft mit Arbeit im Landkreis Harz,2008," 218,386.00 "
138,"Bildungswerk der Wirtschaft Sachsen-
Anhalt e. V.","Zukunft mit Arbeit im Landkreis Börde, Hagenstraße 44,
39340 Haldensleben",2008," 217,601.00 "
270,ews GmbH Magdeburg,"Zukunft mit Arbeit im Salzlandkreis , An der Salzrinne 1 in
39418 Staßfurt",2008," 216,843.00 "
430,Institut für berufliche Bildung GmbH,"Praktikumsmaßnahme zur beruflichen Eingliederung am
Arbeitsmarkt benachteiligter Personen",2008," 214,919.00 "
45,"Akademie Überlingen Verwaltungs-
GmbH",GAJL - Gegen Abwanderung junger Landeskinder,2008," 214,504.00 "
568,"MA&#38;T Organisationsentwicklung
GmbH","Personal- und Organisationsentwicklung in Unternehmen zur
Unterstützung des Prozesses des lebenslangen Lernens - Wi
-Per - Reflexive Entwickliung und Umsetzung von
wirtschaftlichen Personalstrategien im nördlichen Sachsen-
Anhalt",2008," 213,901.00 "
431,Internationaler Bund e.V.,"""Zukunft mit Arbeit"" im Burgenlandkreis, Freidrich-Nietzsche-
Str. 1, 06618 Naumburg",2008," 213,319.00 "
660,sbs bildungsprojekte GmbH,"RL Praktikumsmaßnahmen zur beruflichen Eingliederung am
Arbeitsmarkt benachteiligter Personan",2008," 209,142.00 "
250,"Europäisches Bildungswerk für Beruf
und Gesellschaft gGmbH",GAJL - Gegen Abwanderung junger Landeskinder,2008," 207,993.00 "
821,"VHS - Bildungswerk in Sachsen-
Anhalt GmbH","Praktikumsmaßnahme zur beruflichen Eingliederung am
Arbeitsmarkt benachteiligter Personen",2008," 207,240.00 "
277,"FAW Fortbildungsakademie der
Wirtschaft gGmbH Akademie
Merseburg","Praktikumsmaßnahme zur beruflichen Eingliederung am
Arbeitsmarkt benachteiligter Personen",2008," 205,804.00 "
