"Titolo","Prov_Comune","Ben_Finale","Sog_Proponente","Importo","Impegni","Pagamenti","Programma","Articolazione_del_Programma"
"AC - PIA - CIEFFE DI CAMILLO' FRANCESCO & C. SAS","Comune di Anoia(RC)","Regione Dipartimento 5: Attivit� Produttive","CIEFFE DI CAMILLO' FRANCESCO & C. SAS","709.101,00","709.101,00","0,00","Programma Operativo FESR  2007/2013","Pacchetti Integrarti di Agevolazioni per sostenere la competitivit� delle imprese esistenti."
"AC - PIA - DITTA SAFFIOTI GIUSEPPE","Comune di Palmi(RC)","Regione Dipartimento 5: Attivit� Produttive","DITTA SAFFIOTI GIUSEPPE","934.400,00","934.400,00","0,00","Programma Operativo FESR  2007/2013","Pacchetti Integrarti di Agevolazioni per sostenere la competitivit� delle imprese esistenti."
"AC - PIA - FEMIA NICOLA DI FEMIA BENEDETTO & C.","Comune di Agnana Calabra(RC)","Regione Dipartimento 5: Attivit� Produttive","FEMIA NICOLA DI FEMIA BENEDETTO & C.","1.640.000,00","1.640.000,00","0,00","Programma Operativo FESR  2007/2013","Pacchetti Integrarti di Agevolazioni per sostenere la competitivit� delle imprese esistenti."
"AC - PIA - RAE ECO SRL","Comune di Cittanova(RC)","Regione Dipartimento 5: Attivit� Produttive","RAE ECO SRL","632.679,00","632.679,00","0,00","Programma Operativo FESR  2007/2013","Pacchetti Integrarti di Agevolazioni per sostenere la competitivit� delle imprese esistenti."
"AC - PIA - ATLANTIS SRL","Comune di Santa Cristina D'Asp(RC)","Regione Dipartimento 5: Attivit� Produttive","ATLANTIS SRL","260.129,00","260.129,00","0,00","Programma Operativo FESR  2007/2013","Pacchetti Integrarti di Agevolazioni per sostenere la competitivit� delle imprese esistenti."
"AC - PIA - MEZZATESTA ANTONIO","Comune di Cosoleto(RC)","Regione Dipartimento 5: Attivit� Produttive","MEZZATESTA ANTONIO","290.260,00","290.260,00","0,00","Programma Operativo FESR  2007/2013","Pacchetti Integrarti di Agevolazioni per sostenere la competitivit� delle imprese esistenti."
"AC - PIA - MTA SRL","Comune di San Ferdinando(RC)","Regione Dipartimento 5: Attivit� Produttive","MTA SRL","650.000,00","650.000,00","0,00","Programma Operativo FESR  2007/2013","Pacchetti Integrarti di Agevolazioni per sostenere la competitivit� delle imprese esistenti."
"AC - PIA - ECOLOGIA OGGI SRL","Comune di San Ferdinando(RC)","Regione Dipartimento 5: Attivit� Produttive","ECOLOGIA OGGI","1.173.930,00","1.173.930,00","0,00","Programma Operativo FESR  2007/2013","Pacchetti Integrarti di Agevolazioni per sostenere la competitivit� delle imprese esistenti."
"Man. Cult. I Tesori del Mediterraneo Ass. Nuovi Orizzonti - RC","Tutti i comuni della provincia di REGGIO CALABRIA(RC)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","Associazione Nuovi Orizzonti","229.478,51","229.478,50","0,00","Programma Operativo FESR  2007/2013","Azioni per promuovere e qualificare la  realizzazione di eventi  culturali in grado di mobilitare significativi flussi di visitatori e turisti."
"Paleariza - G.A.L. Area Grecanica","Comune di Bova(RC)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","Gruppo di Azione Locale ""Area Grecanica""scarl","375.709,62","375.709,62","187.854,80","Programma Operativo FESR  2007/2013","Azioni per promuovere e qualificare la  realizzazione di eventi  culturali in grado di mobilitare significativi flussi di visitatori e turisti."
"Adeguam. imp.ill. pubbl. com. 2.1.2.1.","Comune di Sant'Ilario Dello Io(RC)","COMUNE DI S.ILARIO DELLO IONIO","COMUNE DI S.ILARIO DELLO IONIO","101.052,63","94.017,94","94.017,94","Programma Operativo FESR  2007/2013","Azioni per la definizione, sperimentazione e diffusione di modelli di utilizzazione razionale dellﾴenergia per la diminuzione dei consumi negli usi finali civili e industriali."
